date,buy_usd,buy_btc,price_usd
2025-09-25,5.1269,4.553763345353774e-05,112586.0
2025-09-26,5.5488,5.06235339948964e-05,109609.1
2025-09-27,5.5906,5.108458571557803e-05,109438.1
2025-09-28,5.6047,5.119990499419917e-05,109467.0
2025-09-29,5.3155,4.756382482768124e-05,111755.1
2025-09-30,4.9835,4.351622635248711e-05,114520.5
2025-10-01,5.0242,4.3977378460870535e-05,114245.1
2025-10-02,4.7162,3.971837865606656e-05,118741.0
2025-10-03,4.6358,3.859519420813997e-05,120113.4
2025-10-04,4.4964,3.673148292619966e-05,122412.7
2025-10-05,4.4011,3.547843611446997e-05,124050.0
2025-10-06,4.4134,3.558045791680104e-05,124040.0
2025-10-07,4.395,3.529754748303188e-05,124512.9
2025-10-08,4.5669,3.74224718382973e-05,122036.3
2025-10-09,4.6085,3.79076397651429e-05,121571.8
2025-10-10,4.6526,3.843126176557806e-05,121062.9
2025-10-11,5.39,4.7675530423445394e-05,113055.9
2025-10-12,5.8336,5.309185229005028e-05,109877.5
2025-10-13,5.1044,4.419263848510088e-05,115503.4
2025-10-14,5.3558,4.7092567256254335e-05,113729.2
2025-10-15,5.4965,4.872083973755543e-05,112816.2
2025-10-16,5.6888,5.10113405362073e-05,111520.3
2025-10-17,6.0529,5.5543932094517096e-05,108975.0
2025-10-18,6.39,5.9907242213699165e-05,106664.9
2025-10-19,6.3885,5.981405539014662e-05,106806.0
